cnpj,razao_social,uf,situacao,capital_social,cnae,fonte
33923798000100,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,RJ,ATIVA,3763012400.0,Bancos comerciais,minha_receita
33884941000194,BANCO MASTER MULTIPLO S.A.,SP,ATIVA,1167479400.0,"Bancos múltiplos, com carteira comercial",minha_receita
09526594000143,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,SP,ATIVA,121203390.0,"Bancos múltiplos, sem carteira comercial",minha_receita
58497702000102,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,SP,ATIVA,323188380.0,"Bancos múltiplos, com carteira comercial",minha_receita
07875796000175,VIKING PARTICIPACOES LTDA,MG,ATIVA,100000000.0,Holdings de instituições não-financeiras,minha_receita
56823324000184,STERN FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita_qsa
23862762000100,"WILL FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",SP,ATIVA,370000000.0,"Sociedades de crédito, financiamento e investimento - financeiras",minha_receita
51213651000109,WILL BANK HOLDING FINANCEIRA LTDA,SP,ATIVA,1000.0,Holdings de instituições não-financeiras,minha_receita
33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",RJ,ATIVA,43587816.0,Corretoras de títulos e valores mobiliários,minha_receita
03566273000196,MASTER PATRIMONIAL LTDA,RJ,ATIVA,37205044.0,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",minha_receita
18223260000191,CATALISE INVESTIMENTOS LTDA,PR,ATIVA,100000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
33194855000150,CATALISE CAPITAL PARTNERS S.A.,PR,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
09121454000195,TERCON INVESTIMENTOS S.A.,SP,ATIVA,600000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,SP,ATIVA,500000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
32203088000135,JAGUAR FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita_qsa
39701783000176,SIRLOIN PARTICIPACOES LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
18167777000100,ACURA GESTORA DE RECURSOS LTDA.,SP,ATIVA,362000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
35302718000117,SEFERPAR PARTICIPACOES E INVESTIMENTOS S.A.,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
09463122000199,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPACOES LTDA",SP,ATIVA,550000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
16925467000182,GLOBAL GESTAO E INVESTIMENTOS LTDA,MG,ATIVA,300000.0,Agentes de investimentos em aplicações financeiras,minha_receita
36040900000100,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIARIOS LTDA,RS,ATIVA,10000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
57529533000182,HARBOUR HOLDING S.A,RS,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
42373402000181,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,SP,ATIVA,200000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
28810952000190,VANQUISH INVESTIMENTOS E PARTICIPACOES LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
03403181000195,INFINITY ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA.,SP,ATIVA,9135000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
06238550000120,MONETIZA INVESTIMENTOS LTDA,PR,ATIVA,30000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
19207159000100,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,RS,ATIVA,501000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
21046086000163,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,SP,SUSPENSA,51565.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
52195129000104,ID ACCESS LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
52167766000169,ID PARTNERS LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
24515907000151,CARMEL GESTORA DE ATIVOS LTDA,SP,ATIVA,200000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
46312903000109,CARMEL CAPITAL PARTICIPACOES LTDA,SP,ATIVA,,Holdings de instituições financeiras,minha_receita_qsa
46740698000182,SAUSALITO PARTICIPACOES LTDA,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
28264093000180,SMART AGRO INVESTIMENTOS LTDA,SP,ATIVA,1000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
32764855000185,LIBERTAS ASSET S.A.,MG,ATIVA,1750000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
47917164000141,AXOR ASSET LTDA,SP,ATIVA,100000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
50543106000100,MENESTYS GESTORA DE RECURSOS LTDA,SP,ATIVA,50010.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
51806219000113,3P HOLDING LTDA,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
67030395000146,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SP,ATIVA,1566600.0,Distribuidoras de títulos e valores mobiliários,minha_receita
37665902000157,TRUSTEE HOLDING FINANCEIRA S/A,SP,ATIVA,,Holdings de instituições financeiras,minha_receita_qsa
61820817000109,BANCO PAULISTA S.A.,SP,ATIVA,284300000.0,"Bancos múltiplos, com carteira comercial",minha_receita
54958358000150,ACQUA&CO CAPITAL LTDA,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
64525602000145,BE HOLDING LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
64079695000121,TERIS PARTICIPACOES LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
02166941000125,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,SP,ATIVA,,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",minha_receita_qsa
51600603000165,BARTHMAN HOLDING LTDA,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
16552209000106,YCNEX PARTICIPACOES S/A,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
22415738000152,ACURA MACROSTRATEGY FUNDO DE INVESTIMENTO MULTIMERCADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
27590992000100,ARES FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
37569593000111,MJC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLASSE ÚNICA FECHADA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
37178959000121,MAM EAGLE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
31963292000191,TALLÍNN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
40698790000145,BBA FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
41576095000173,MARLIN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
41709776000162,MAM SELEÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS MULTIMERCADO,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
45563675000187,K-INVESTING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
02727085000130,MÁXIMA  FMP - FGTS  PETROBRAS,,EM FUNCIONAMENTO NORMAL,,FUNDO DE INVESTIMENTO,cvm
03919474000120,BANESTES  FMP - FGTS  PETROBRAS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
04894428000186,BANESTES FMP-FGTS VALE DO RIO DOCE,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
31368739000184,KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
51569573000171,GDN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
41572679000170,TIDAS BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
46268930000121,FINANZE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,LIQUIDAÇÃO,,FUNDO DE INVESTIMENTO,cvm
44668849000103,BONUSCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
42639133000152,ITC - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
40319398000148,BGR - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO- PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
