data_entrada,socio,tipo_socio,cargo,empresa,cnpj_empresa,uf_empresa,fonte
1997-08-01,ADRIANA DIRENE CHAIA,PF,Sócio-Administrador,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,02166941000125,SP,minha_receita
1997-08-01,ALEXANDRE JORGE CHAIA,PF,Sócio-Administrador,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,02166941000125,SP,minha_receita
1999-09-17,DAVID JESUS GIL FERNANDEZ,PF,Sócio-Administrador,INFINITY ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA.,03403181000195,SP,minha_receita
2006-02-15,DANIEL BUENO VORCARO,PF,Sócio,VIKING PARTICIPACOES LTDA,07875796000175,MG,minha_receita
2007-03-16,FABRICIO VERMELHO MARTINS,PF,Sócio,MONETIZA INVESTIMENTOS LTDA,06238550000120,PR,minha_receita
2007-11-29,LAHNA NATACHA WINTER,PF,Sócio,MONETIZA INVESTIMENTOS LTDA,06238550000120,PR,minha_receita
2008-03-25,JAIR LEMES GONCALVES NETO,PF,Sócio-Administrador,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPACOES LTDA",09463122000199,SP,minha_receita
2009-10-14,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,PJ,Sócio,MASTER PATRIMONIAL LTDA,03566273000196,RJ,minha_receita
2010-05-07,LUIZ FERNANDO CONTE VASCONCELLOS,PF,Presidente,TERCON INVESTIMENTOS S.A.,09121454000195,SP,minha_receita
2012-07-06,WEAKER BATISTA NETO,PF,Presidente,YCNEX PARTICIPACOES S/A,16552209000106,SP,minha_receita
2012-07-06,WEAKER LENIO COSTA BATISTA,PF,Diretor,YCNEX PARTICIPACOES S/A,16552209000106,SP,minha_receita
2012-09-28,EDUARDO RIBEIRO DE MOURA,PF,Sócio-Administrador,GLOBAL GESTAO E INVESTIMENTOS LTDA,16925467000182,MG,minha_receita
2013-02-07,RUI LUIS FERNANDES,PF,Diretor,BANCO PAULISTA S.A.,61820817000109,SP,minha_receita
2013-05-20,MARCELO AKIRA AOKI,PF,Administrador,CATALISE INVESTIMENTOS LTDA,18223260000191,PR,minha_receita
2013-10-31,CARLOS ALBERTO INOCENCIO,PF,Administrador,MASTER PATRIMONIAL LTDA,03566273000196,RJ,minha_receita
2013-10-31,JOSE RICARDO DE QUEIROZ PEREIRA,PF,Sócio-Administrador,MASTER PATRIMONIAL LTDA,03566273000196,RJ,minha_receita
2013-11-05,EDUARDO TELLECHEA CAIROLI,PF,Sócio-Administrador,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,19207159000100,RS,minha_receita
2015-05-14,ANGELA AGOSTINI VASCONCELLOS,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP,minha_receita
2015-05-14,MARCELO ALBERTO COUTO,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP,minha_receita
2015-10-21,VITOR MANUEL FARINHA NUNES,PF,Conselheiro de Administração,BANCO MASTER MULTIPLO S.A.,33884941000194,SP,minha_receita
2015-10-23,BRUNO LOPRESTI LAGE,PF,Administrador,CATALISE INVESTIMENTOS LTDA,18223260000191,PR,minha_receita
2016-02-02,CLAUDIO BLANCO MORENO,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP,minha_receita
2016-02-02,DANILO CASTRO FERREIRA,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP,minha_receita
2016-02-02,DIOGENES ROCHA MENEZES DA SILVA,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP,minha_receita
2016-04-04,ADEMIR SILVA OLIVEIRA,PF,Administrador,CARMEL GESTORA DE ATIVOS LTDA,24515907000151,SP,minha_receita
2017-07-07,ANGELO ANTONIO RIBEIRO DA SILVA,PF,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ,minha_receita
2017-07-07,ANGELO ANTONIO RIBEIRO DA SILVA,PF,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",33886862000112,RJ,minha_receita
2017-07-26,LUIZ FELIPPE CRUZ GENERALI,PF,Sócio-Administrador,SMART AGRO INVESTIMENTOS LTDA,28264093000180,SP,minha_receita
2017-07-26,THIAGO MALZONI MONTEIRO,PF,Sócio-Administrador,SMART AGRO INVESTIMENTOS LTDA,28264093000180,SP,minha_receita
2017-10-06,RENATA FERRAZ DE ANDRADE DE ALMEIDA SOUZA,PF,Administrador,VANQUISH INVESTIMENTOS E PARTICIPACOES LTDA,28810952000190,SP,minha_receita
2017-12-01,DANIEL BUENO VORCARO,PF,Presidente,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ,minha_receita
2017-12-27,LUIZ ANTONIO BULL,PF,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",33886862000112,RJ,minha_receita
2018-01-04,LUIZ ANTONIO BULL,PF,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ,minha_receita
2018-08-01,FERNANDO JOSE SILVA,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP,minha_receita
2019-02-14,GUILHERME MOURAO VAZ,PF,Diretor,LIBERTAS ASSET S.A.,32764855000185,MG,minha_receita
2019-02-14,MARCELO FARIA RODRIGUES,PF,Diretor,LIBERTAS ASSET S.A.,32764855000185,MG,minha_receita
2019-02-18,GUSTAVO AUGUSTO VASCONCELOS BIAVA,PF,Sócio-Administrador,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP,minha_receita
2019-03-29,BRUNO LOPRESTI LAGE,PF,Diretor,CATALISE CAPITAL PARTNERS S.A.,33194855000150,PR,minha_receita
2019-03-29,MARCELO AKIRA AOKI,PF,Diretor,CATALISE CAPITAL PARTNERS S.A.,33194855000150,PR,minha_receita
2019-06-10,CATALISE CAPITAL PARTNERS S.A.,PJ,Sócio,CATALISE INVESTIMENTOS LTDA,18223260000191,PR,minha_receita
2019-10-15,WELBERT LEROY NEVES,PF,Administrador,GLOBAL GESTAO E INVESTIMENTOS LTDA,16925467000182,MG,minha_receita
2019-12-31,ARTUR MARTINS DE FIGUEIREDO,PF,Diretor,TRUSTEE HOLDING FINANCEIRA S/A,37665902000157,SP,minha_receita
2020-01-03,JOSE ROBERTO GIANCOLI FILHO,PF,Sócio-Administrador,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP,minha_receita
2020-01-17,RAFAEL FLORES NUNES,PF,Administrador,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIARIOS LTDA,36040900000100,RS,minha_receita
2020-08-10,ANTONIO CARLOS AMANCIO,PF,Presidente,SEFERPAR PARTICIPACOES E INVESTIMENTOS S.A.,35302718000117,SP,minha_receita
2020-10-22,TRUSTEE HOLDING FINANCEIRA S/A,PJ,Sócio,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP,minha_receita
2020-11-06,RAFAEL VIEIRA E FORNARI,PF,Sócio-Administrador,SIRLOIN PARTICIPACOES LTDA,39701783000176,SP,minha_receita
2021-01-04,RODRIGO JOSE RODRIGUES,PF,Sócio-Administrador,SIRLOIN PARTICIPACOES LTDA,39701783000176,SP,minha_receita
2021-01-10,VINICIUS DA SILVA PINTO,PF,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",33886862000112,RJ,minha_receita
2021-02-23,JAGUAR FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,PJ,Sócio,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,21180163000173,SP,minha_receita
2021-02-23,SIRLOIN PARTICIPACOES LTDA,PJ,Sócio,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,21180163000173,SP,minha_receita
2021-02-23,VIVIANE APARECIDA RODRIGUES AFONSO,PF,Administrador,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,21180163000173,SP,minha_receita
2021-02-26,WALESSA ALVES LEAL,PF,Sócio-Administrador,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,19207159000100,RS,minha_receita
2021-06-02,ANGELO PINHEIRO DE CASTRO,PF,Administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP,minha_receita
2021-06-02,MAURICIO ANTONIO QUADRADO,PF,Sócio,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP,minha_receita
2021-06-17,ALAN RIGONI DE ALMEIDA SOUZA,PF,Administrador,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,42373402000181,SP,minha_receita
2021-06-17,JOSE ROLDAO DE ALMEIDA SOUZA,PF,Sócio-Administrador,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,42373402000181,SP,minha_receita
2021-06-17,RENATA FERRAZ DE ANDRADE DE ALMEIDA SOUZA,PF,Administrador,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,42373402000181,SP,minha_receita
2021-06-17,VANQUISH INVESTIMENTOS E PARTICIPACOES LTDA,PJ,Sócio,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,42373402000181,SP,minha_receita
2021-09-08,FELIPE FELIX SOARES DE SOUSA,PF,Diretor,"WILL FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",23862762000100,SP,minha_receita
2021-09-08,RICARDO SAAD NETO,PF,Diretor,"WILL FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",23862762000100,SP,minha_receita
2021-11-23,FELIPE WALLACE SIMONSEN,PF,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ,minha_receita
2022-01-24,FABIO STREITEMBERGER FABRO,PF,Sócio,MONETIZA INVESTIMENTOS LTDA,06238550000120,PR,minha_receita
2022-01-24,LUIZ FELIPE SEEGMULLER DE CARVALHO,PF,Sócio-Administrador,MONETIZA INVESTIMENTOS LTDA,06238550000120,PR,minha_receita
2022-05-09,ADEMIR SILVA OLIVEIRA,PF,Sócio-Administrador,CARMEL CAPITAL PARTICIPACOES LTDA,46312903000109,SP,minha_receita
2022-05-09,ALEXANDRE JORGE CHAIA,PF,Administrador,CARMEL CAPITAL PARTICIPACOES LTDA,46312903000109,SP,minha_receita
2022-06-10,ADEMIR SILVA OLIVEIRA,PF,Sócio-Administrador,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2022-06-10,ALEXANDRE JORGE CHAIA,PF,Sócio-Administrador,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2022-06-10,CARMEL CAPITAL PARTICIPACOES LTDA,PJ,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP,minha_receita
2022-07-08,JOSE RICARDO DE QUEIROZ PEREIRA,PF,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",33886862000112,RJ,minha_receita
2022-08-17,ALEXANDRE JORGE CHAIA,PF,Administrador,CARMEL GESTORA DE ATIVOS LTDA,24515907000151,SP,minha_receita
