nome,n_empresas,cargos,empresas,primeira_entrada,ultima_entrada,faixa_etaria
ALEXANDRE JORGE CHAIA,4,"Administrador,Sócio-Administrador","CARMEL GESTORA DE ATIVOS LTDA,CARMEL CAPITAL PARTICIPACOES LTDA,SAUSALITO PARTICIPACOES LTDA,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA",1997-08-01,2022-08-17,Entre 51 a 60 anos
ANGELO ANTONIO RIBEIRO DA SILVA,4,Diretor,"BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,BANCO MASTER MULTIPLO S.A.,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",2017-07-07,2023-10-27,Entre 51 a 60 anos
GUSTAVO AUGUSTO VASCONCELOS BIAVA,4,"Sócio-Administrador,Administrador","ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,ID ACCESS LTDA,ID PARTNERS LTDA,TERIS PARTICIPACOES LTDA",2019-02-18,2025-12-16,Entre 41 a 50 anos
JOSE ROBERTO GIANCOLI FILHO,4,"Sócio-Administrador,Administrador","ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,ID ACCESS LTDA,ID PARTNERS LTDA,BE HOLDING LTDA",2020-01-03,2026-01-15,Entre 41 a 50 anos
LUIZ ANTONIO BULL,4,"Diretor,Presidente","BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,BANCO MASTER MULTIPLO S.A.,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",2017-12-27,2023-10-27,Entre 61 a 70 anos
ADEMIR SILVA OLIVEIRA,3,"Administrador,Sócio-Administrador","CARMEL GESTORA DE ATIVOS LTDA,CARMEL CAPITAL PARTICIPACOES LTDA,SAUSALITO PARTICIPACOES LTDA",2016-04-04,2022-06-10,Entre 51 a 60 anos
DANIEL BUENO VORCARO,3,"Presidente,Sócio","BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,VIKING PARTICIPACOES LTDA",2006-02-15,2025-08-12,Entre 41 a 50 anos
GUARACI SILLOS MOREIRA,3,"Administrador,Sócio,Sócio-Administrador","CARMEL GESTORA DE ATIVOS LTDA,CARMEL CAPITAL PARTICIPACOES LTDA,SAUSALITO PARTICIPACOES LTDA",2023-11-08,2024-07-16,Entre 41 a 50 anos
MAURICIO ANTONIO QUADRADO,3,"Presidente,Sócio,Diretor","BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,TRUSTEE HOLDING FINANCEIRA S/A",2021-06-02,2024-11-01,Entre 61 a 70 anos
RENATA FERRAZ DE ANDRADE DE ALMEIDA SOUZA,3,"Administrador,Sócio-Administrador","SQUALO CAPITAL GESTORA DE RECURSOS LTDA,VANQUISH INVESTIMENTOS E PARTICIPACOES LTDA,ACQUA&CO CAPITAL LTDA",2017-10-06,2024-05-01,Entre 41 a 50 anos
ANDRE KRUSCHEWSKY LIMA,2,Diretor,"BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,BANCO MASTER MULTIPLO S.A.",2023-02-13,2023-10-27,Entre 41 a 50 anos
ANTONIO CARLOS AMANCIO,2,"Administrador,Presidente","ACURA GESTORA DE RECURSOS LTDA.,SEFERPAR PARTICIPACOES E INVESTIMENTOS S.A.",2020-08-10,2026-03-23,Entre 61 a 70 anos
BRUNO LOPRESTI LAGE,2,"Administrador,Diretor","CATALISE INVESTIMENTOS LTDA,CATALISE CAPITAL PARTNERS S.A.",2015-10-23,2019-03-29,Entre 31 a 40 anos
FLAVIO DANIEL AGUETONI,2,Administrador,"MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA",2025-10-24,2025-11-17,Entre 41 a 50 anos
GIOVANA DIRENE CHAIA,2,Sócio,"SAUSALITO PARTICIPACOES LTDA,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA",2022-11-09,2025-06-25,Entre 21 a 30 anos
JOSE RICARDO DE QUEIROZ PEREIRA,2,"Diretor,Sócio-Administrador","MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL,MASTER PATRIMONIAL LTDA",2013-10-31,2022-07-08,Entre 51 a 60 anos
LUCIMARA DE ARAUJO LIMA,2,"Administrador,Sócio","ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,ID ACCESS LTDA",2023-09-15,2023-11-09,Entre 41 a 50 anos
LUIS FERNANDO DE ALMEIDA,2,Administrador,"MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA",2025-07-23,2026-01-20,Entre 31 a 40 anos
MARCELO AKIRA AOKI,2,"Administrador,Diretor","CATALISE INVESTIMENTOS LTDA,CATALISE CAPITAL PARTNERS S.A.",2013-05-20,2019-03-29,Entre 31 a 40 anos
RAFAEL FLORES NUNES,2,"Administrador,Diretor","HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIARIOS LTDA,HARBOUR HOLDING S.A",2020-01-17,2024-10-02,Entre 31 a 40 anos
REINALDO HOSSEPIAN SALLES LIMA,2,Diretor,"BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",2023-02-16,2024-11-01,Entre 61 a 70 anos
VIVIANE APARECIDA RODRIGUES AFONSO,2,"Diretor,Administrador","BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA",2021-02-23,2024-09-20,Entre 41 a 50 anos
WEAKER BATISTA NETO,2,"Administrador,Presidente","3P HOLDING LTDA,YCNEX PARTICIPACOES S/A",2012-07-06,2023-08-14,Entre 51 a 60 anos
ADRIANA DIRENE CHAIA,1,Sócio-Administrador,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,1997-08-01,1997-08-01,Entre 51 a 60 anos
ADRIANO GARZON CORREA,1,Administrador,VIKING PARTICIPACOES LTDA,2025-09-29,2025-09-29,Entre 41 a 50 anos
ALAN RIGONI DE ALMEIDA SOUZA,1,Administrador,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,2021-06-17,2021-06-17,Entre 41 a 50 anos
ALEXANDRE MARCHESANI CANATA,1,Administrador,AXOR ASSET LTDA,2025-05-05,2025-05-05,Entre 51 a 60 anos
ALEXANDRE PIOVESAN,1,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,2024-10-24,2024-10-24,Entre 41 a 50 anos
ANA LUIZA MARRARA GIANCOLI,1,Sócio,BE HOLDING LTDA,2026-01-15,2026-01-15,Entre 41 a 50 anos
ANDRE LUIS FAUTH,1,Diretor,CATALISE CAPITAL PARTNERS S.A.,2023-11-27,2023-11-27,Entre 61 a 70 anos
ANDRE TAVARES CASTANHEIRA,1,Diretor,TERCON INVESTIMENTOS S.A.,2025-01-20,2025-01-20,Entre 41 a 50 anos
ANDREA LANZETTI DA SILVA,1,Sócio-Administrador,BARTHMAN HOLDING LTDA,2023-07-28,2023-07-28,Entre 51 a 60 anos
ANGELA AGOSTINI VASCONCELLOS,1,Diretor,TERCON INVESTIMENTOS S.A.,2015-05-14,2015-05-14,Entre 41 a 50 anos
ANGELO PINHEIRO DE CASTRO,1,Administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2021-06-02,2021-06-02,Entre 41 a 50 anos
ARTUR MARTINS DE FIGUEIREDO,1,Diretor,TRUSTEE HOLDING FINANCEIRA S/A,2019-12-31,2019-12-31,Entre 51 a 60 anos
AUGUSTO FERREIRA LIMA,1,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,2023-02-13,2023-02-13,Entre 41 a 50 anos
BRUNO CUNHA ALMEIDA,1,Diretor,BANCO PAULISTA S.A.,2025-03-17,2025-03-17,Entre 41 a 50 anos
CAMILA DA SILVA FERREIRA OLIVEIRA,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2022-11-09,2022-11-09,Entre 31 a 40 anos
CARLOS ALBERTO INOCENCIO,1,Administrador,MASTER PATRIMONIAL LTDA,2013-10-31,2013-10-31,Entre 61 a 70 anos
CINTIA SILVA OLIVEIRA COSTA,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2024-07-16,2024-07-16,Entre 41 a 50 anos
CLAUDIO BLANCO MORENO,1,Diretor,TERCON INVESTIMENTOS S.A.,2016-02-02,2016-02-02,Entre 51 a 60 anos
DANILO CASTRO FERREIRA,1,Diretor,TERCON INVESTIMENTOS S.A.,2016-02-02,2016-02-02,Entre 31 a 40 anos
DAVID JESUS GIL FERNANDEZ,1,Sócio-Administrador,INFINITY ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA.,1999-09-17,1999-09-17,Entre 51 a 60 anos
DIOGENES ROCHA MENEZES DA SILVA,1,Diretor,TERCON INVESTIMENTOS S.A.,2016-02-02,2016-02-02,Entre 31 a 40 anos
EDUARDO RIBEIRO DE MOURA,1,Sócio-Administrador,GLOBAL GESTAO E INVESTIMENTOS LTDA,2012-09-28,2012-09-28,Entre 51 a 60 anos
EDUARDO TELLECHEA CAIROLI,1,Sócio-Administrador,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,2013-11-05,2013-11-05,Entre 41 a 50 anos
EDWARD BERTELLI JUNIOR,1,Diretor,LIBERTAS ASSET S.A.,2023-02-03,2023-02-03,Entre 61 a 70 anos
