ck,Competência,valor_master,pct_carteira,n_papeis
202312,122023,80544365.44,8.29,2
202401,012024,81482613.98,8.31,2
202402,022024,82292942.0,8.31,2
202403,032024,83345306.83,8.2,2
202404,042024,84182513.84,8.11,2
202405,052024,102084617.78999999,7.99,3
202406,062024,103088999.71000001,7.88,3
202407,072024,104090296.07,7.79,3
202408,082024,105102648.65,7.7,3
202409,092024,105825658.77,7.62,3
202410,102024,106892815.21,7.54,3
202411,112024,108013875.74000001,7.4,3
202412,122024,109183256.36,7.34,3
202501,012025,110418067.0,7.35,3
202502,022025,111327727.13999999,7.31,3
202503,032025,113047621.34,7.34,3
202504,042025,114596824.44,7.27,3
202505,052025,115801640.92,7.3,3
202506,062025,116811589.87,7.28,3
202507,072025,117899694.57,7.08,3
202508,082025,118897123.09,7.01,3
202509,092025,119644698.69,6.97,3
202510,102025,120869403.56,6.89,3
202511,112025,120869403.55999999,6.75,3
202512,122025,120869403.55999999,6.62,3
202601,012026,120869403.56,6.54,3
202602,022026,120869403.56,6.36,3
