tier,Ente,UF,CNPJ,n_comp,pico_valor,pct_pico,entrada,pico_ck,valor_liquidacao,valor_ultimo,ultima_comp,congelou_na_liquidacao
Tier1_LF_Master,Maceió,AL,12200135000180,27,120869403.56,8.31,202312,202510,120869403.55999999,120869403.56,202602,true
Tier1_LF_Master,Governo do Estado do Amapá,AP,00394577000125,18,119267743.16,1.27,202407,202501,106962628.0,106962628.0,202512,true
Tier1_LF_Master,Cajamar,SP,46523023000181,30,107198228.53999999,11.41,202310,202510,107198228.53999999,0.03,202603,false
Tier1_LF_Master,Itaguaí,RJ,29138302000102,21,67603487.89,11.41,202406,202506,64992392.379999995,64992392.379999995,202602,true
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,20,48610495.4,4.97,202406,202601,47769610.24,48610495.4,202601,true
Tier1_LF_Master,Araras,SP,44215846000114,24,34134389.69,6.92,202403,202510,0.01,0.01,202602,true
Tier1_LF_Master,Brodowski,SP,45301652000102,15,11520810.72,8.9,202405,202507,,11520810.72,202507,
Tier1_LF_Master,Fátima do Sul,MS,03155751000175,20,8177466.01,20.46,202406,202510,0.01,0.01,202601,true
Tier1_LF_Master,Santo Antônio de Posse,SP,45331196000135,23,5955151.45,4.9,202404,202510,0.01,0.01,202602,true
Tier1_LF_Master,São Gabriel do Oeste,MS,15389588000194,20,3469108.58,5.42,202407,202510,0.01,0.01,202602,true
Tier1_LF_Master,Angélica,MS,03747649000169,17,2315739.54,5.07,202407,202510,0.0,0.0,202511,false
Tier1_LF_Master,Campo Grande,MS,03501509000106,23,1427697.59,4.49,202404,202510,1427697.59,1427697.59,202602,true
Tier1_LF_Master,Tacuru,MS,03888989000100,11,0.0,0.0,,202505,0.0,0.0,202603,false
Tier1_LF_Master,Santa Rita d'Oeste,SP,45138336000153,23,0.0,0.0,,202404,0.0,0.0,202602,false
Tier1_LF_Master,Governo do Estado do Rio de Janeiro,RJ,42498600000171,22,0.0,0.0,,202404,0.0,0.0,202601,false
Tier2_fundo_Reag,Campos dos Goytacazes,RJ,29116894000161,37,11286450.32,1.54,202301,202509,10742820.620000001,11066325.02,202601,false
Tier2_fundo_Reag,Embu das Artes,SP,46523114000117,38,11269000.0,1.9,202301,202509,10725370.3,10917044.8,202602,true
Tier2_fundo_Reag,São Bernardo do Campo,SP,46523239000147,38,8500000.0,0.45,202301,202412,4723875.0,2878266.6,202602,false
Tier2_fundo_Reag,Camaçari,BA,14109763000180,38,8500000.0,1.68,202301,202412,4750000.0,3740000.0,202602,false
Tier2_fundo_Reag,Governo do Estado de Rondônia,RO,00394585000171,38,8500000.0,0.15,202301,202412,4750000.0,3740000.0,202602,false
Tier2_fundo_Reag,Santa Luzia,MG,18715409000150,12,6555570.0,4.1,202301,202311,,0.0,202312,false
Tier2_fundo_Reag,Birigui,SP,46151718000180,38,4507600.0,1.74,202301,202509,4290148.12,4366817.92,202602,true
Tier2_fundo_Reag,Cândido Mota,SP,46179958000192,39,3234538.63,3.21,202301,202301,1242552.5,980962.5,202603,false
Tier2_fundo_Reag,Várzea da Palma,MG,18279059000126,31,2854300.0,3.94,202301,202412,,0.0,202507,false
Tier2_fundo_Reag,Jaraguá do Sul,SC,83102459000123,38,2550000.0,0.36,202301,202412,1425000.0,1122000.0,202602,false
Tier2_fundo_Reag,Santos,SP,58200015000183,38,2209774.94,0.12,202301,202512,2139040.08,2183594.34,202602,false
Tier2_fundo_Reag,Pirapora,MG,23539463000121,37,1657500.0,7.84,202301,202412,926250.0,760500.0,202601,false
Tier2_fundo_Reag,Bocaiúva,MG,18803072000132,37,365500.0,0.69,202301,202412,204250.0,167700.0,202601,false
Tier2_fundo_Reag,Blumenau,SC,83108357000115,38,340000.0,0.08,202301,202412,190000.0,149600.0,202602,false
Tier2_fundo_Reag,Pomerode,SC,83102251000104,21,224370.0,0.15,202301,202408,,0.0,202409,false
