tier,Ente,UF,CNPJ,ck,Competência,valor,pct_carteira
Tier1_LF_Master,Angélica,MS,03747649000169,202407,072024,2007624.34,5.05
Tier1_LF_Master,Angélica,MS,03747649000169,202408,082024,2024462.61,5.07
Tier1_LF_Master,Angélica,MS,03747649000169,202409,092024,2038819.54,5.06
Tier1_LF_Master,Angélica,MS,03747649000169,202410,102024,2062121.88,5.06
Tier1_LF_Master,Angélica,MS,03747649000169,202411,112024,2081746.89,5.07
Tier1_LF_Master,Angélica,MS,03747649000169,202412,122024,2103356.34,5.06
Tier1_LF_Master,Angélica,MS,03747649000169,202501,012025,2123914.59,5.06
Tier1_LF_Master,Angélica,MS,03747649000169,202502,022025,2149511.78,5.02
Tier1_LF_Master,Angélica,MS,03747649000169,202503,032025,2181051.67,5.03
Tier1_LF_Master,Angélica,MS,03747649000169,202504,042025,2203423.6,4.9
Tier1_LF_Master,Angélica,MS,03747649000169,202505,052025,2225392.9,4.86
Tier1_LF_Master,Angélica,MS,03747649000169,202506,062025,2241497.49,4.84
Tier1_LF_Master,Angélica,MS,03747649000169,202507,072025,2262847.46,4.86
Tier1_LF_Master,Angélica,MS,03747649000169,202508,082025,2276887.05,4.78
Tier1_LF_Master,Angélica,MS,03747649000169,202509,092025,2293506.8,4.74
Tier1_LF_Master,Angélica,MS,03747649000169,202510,102025,2315739.54,4.74
Tier1_LF_Master,Angélica,MS,03747649000169,202511,112025,0.0,0.0
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202406,062024,40000000.0,4.95
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202407,072024,40722939.45,4.96
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202408,082024,41129135.62,4.94
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202409,092024,41415214.26,4.92
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202410,102024,41848152.56,4.92
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202411,112024,42296170.77,4.93
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202412,122024,42761111.45,4.97
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202501,012025,43253794.86,4.91
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202502,022025,43613591.38,4.86
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202503,032025,44312500.51,4.86
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202504,042025,44918047.84,4.84
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202505,052025,45394362.71,4.82
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202506,062025,45797492.29,4.79
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202507,072025,46233052.04,4.77
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202508,082025,46633009.19,4.74
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202509,092025,46930222.98,4.7
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202510,102025,47429854.28,4.68
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202511,112025,47769610.24,4.65
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202512,122025,48169122.93,4.6
Tier1_LF_Master,Aparecida de Goiânia,GO,01005727000124,202601,012026,48610495.4,4.58
Tier1_LF_Master,Araras,SP,44215846000114,202403,032024,10139214.36,2.46
Tier1_LF_Master,Araras,SP,44215846000114,202404,042024,10212057.03,2.5
Tier1_LF_Master,Araras,SP,44215846000114,202405,052024,24338016.87,5.87
Tier1_LF_Master,Araras,SP,44215846000114,202406,062024,24473535.46,5.77
Tier1_LF_Master,Araras,SP,44215846000114,202407,072024,24705119.7,5.71
Tier1_LF_Master,Araras,SP,44215846000114,202408,082024,24930922.15,5.65
