tier,Ente,UF,CNPJ,valor_pico,pct_pico_carteira,primeira_comp,ultima_comp,n_competencias
Tier1: LF Banco Master,Maceió,AL,12200135000180,120869403.56,8.31,202312,202602,27
Tier1: LF Banco Master,Governo do Estado do Amapá,AP,00394577000125,119267743.16,1.27,202407,202512,18
Tier1: LF Banco Master,Cajamar,SP,46523023000181,107198228.53999999,11.41,202310,202603,30
Tier1: LF Banco Master,Itaguaí,RJ,29138302000102,67603487.89,11.41,202406,202602,21
Tier1: LF Banco Master,Aparecida de Goiânia,GO,01005727000124,48610495.4,4.97,202406,202601,20
Tier1: LF Banco Master,Araras,SP,44215846000114,34134389.69,6.92,202403,202602,24
Tier1: LF Banco Master,Brodowski,SP,45301652000102,11520810.72,8.9,202405,202507,15
Tier1: LF Banco Master,Fátima do Sul,MS,03155751000175,8177466.01,20.46,202406,202601,20
Tier1: LF Banco Master,Santo Antônio de Posse,SP,45331196000135,5955151.45,4.9,202404,202602,23
Tier1: LF Banco Master,São Gabriel do Oeste,MS,15389588000194,3469108.58,5.42,202407,202602,20
Tier1: LF Banco Master,Angélica,MS,03747649000169,2315739.54,5.07,202407,202511,17
Tier1: LF Banco Master,Campo Grande,MS,03501509000106,1427697.59,4.49,202404,202602,23
Tier1: LF Banco Master,Santa Rita d'Oeste,SP,45138336000153,0.0,0.0,202404,202602,23
Tier1: LF Banco Master,Governo do Estado do Rio de Janeiro,RJ,42498600000171,0.0,0.0,202404,202601,22
Tier1: LF Banco Master,Tacuru,MS,03888989000100,0.0,0.0,202505,202603,11
Tier2: fundo Reag/grupo,Campos dos Goytacazes,RJ,29116894000161,11286450.32,1.54,202301,202601,37
Tier2: fundo Reag/grupo,Embu das Artes,SP,46523114000117,11269000.0,1.9,202301,202602,38
Tier2: fundo Reag/grupo,Camaçari,BA,14109763000180,8500000.0,1.68,202301,202602,38
Tier2: fundo Reag/grupo,Governo do Estado de Rondônia,RO,00394585000171,8500000.0,0.15,202301,202602,38
Tier2: fundo Reag/grupo,São Bernardo do Campo,SP,46523239000147,8500000.0,0.45,202301,202602,38
Tier2: fundo Reag/grupo,Santa Luzia,MG,18715409000150,6555570.0,4.1,202301,202312,12
Tier2: fundo Reag/grupo,Birigui,SP,46151718000180,4507600.0,1.74,202301,202602,38
Tier2: fundo Reag/grupo,Cândido Mota,SP,46179958000192,3234538.63,3.21,202301,202603,39
Tier2: fundo Reag/grupo,Várzea da Palma,MG,18279059000126,2854300.0,3.94,202301,202507,31
Tier2: fundo Reag/grupo,Jaraguá do Sul,SC,83102459000123,2550000.0,0.36,202301,202602,38
Tier2: fundo Reag/grupo,Santos,SP,58200015000183,2209774.94,0.12,202301,202602,38
Tier2: fundo Reag/grupo,Pirapora,MG,23539463000121,1657500.0,7.84,202301,202601,37
Tier2: fundo Reag/grupo,Bocaiúva,MG,18803072000132,365500.0,0.69,202301,202601,37
Tier2: fundo Reag/grupo,Blumenau,SC,83108357000115,340000.0,0.08,202301,202602,38
Tier2: fundo Reag/grupo,Pomerode,SC,83102251000104,224370.0,0.15,202301,202409,21
