tier,Ente,UF,CNPJ,pico,pct_pico,pico_ck,entrada,v_liq,v_ult,destino
Tier1_LF_CDB_Master,Governo do Estado do Rio de Janeiro,RJ,42498600000171,568303751.88,2.65,202511,202311,568303751.88,0.0,baixado_a_zero
Tier1_LF_CDB_Master,Governo do Estado do Amapá,AP,00394577000125,435238646.0,2.45,202506,202407,429487105.0,429487105.0,congelado
Tier1_LF_CDB_Master,Maceió,AL,12200135000180,120869403.56,6.89,202510,202312,120869403.55999999,120869403.56,congelado
Tier1_LF_CDB_Master,São Roque,SP,70946009000175,108433906.0,18.73,202510,202404,0.0,0.0,outro
Tier1_LF_CDB_Master,Cajamar,SP,46523023000181,107198228.53999999,10.6,202510,202310,107198228.53999999,0.03,baixado_a_zero
Tier1_LF_CDB_Master,Itaguaí,RJ,29138302000102,67603487.89,11.41,202506,202406,64992392.379999995,64992392.379999995,congelado
Tier1_LF_CDB_Master,Aparecida de Goiânia,GO,01005727000124,48610495.4,4.58,202601,202406,47769610.24,48610495.4,congelado
Tier1_LF_CDB_Master,Araras,SP,44215846000114,34134389.69,6.22,202510,202403,0.01,0.01,congelado
Tier1_LF_CDB_Master,Brodowski,SP,45301652000102,11520810.72,7.89,202507,202405,,11520810.72,outro
Tier1_LF_CDB_Master,Santo Antônio de Posse,SP,45331196000135,8325025.8100000005,4.61,202510,202404,0.02,0.02,congelado
Tier1_LF_CDB_Master,Fátima do Sul,MS,03155751000175,8177466.01,14.8,202510,202406,0.01,0.01,congelado
Tier1_LF_CDB_Master,Paulista,PE,10408839000117,3779981.05,2.87,202602,202402,3684189.34,3779981.05,outro
Tier1_LF_CDB_Master,São Gabriel do Oeste,MS,15389588000194,3469108.58,4.11,202510,202407,0.01,0.01,congelado
Tier1_LF_CDB_Master,Jateí,MS,03783859000102,2767892.61,6.99,202506,202409,,0.0,outro
Tier1_LF_CDB_Master,Angélica,MS,03747649000169,2315739.54,4.74,202510,202407,0.0,0.0,outro
Tier1_LF_CDB_Master,Campo Grande,MS,03501509000106,1427697.59,3.61,202511,202404,1427697.59,1427697.59,congelado
Tier1_LF_CDB_Master,Santa Rita d'Oeste,SP,45138336000153,0.0,0.0,202504,,0.0,0.0,outro
Tier1_LF_CDB_Master,Tacuru,MS,03888989000100,0.0,0.0,202511,,0.0,0.0,outro
Tier2_fundo_Reag,Campos dos Goytacazes,RJ,29116894000161,11286450.32,0.91,202509,202301,10742820.620000001,11066325.02,outro
Tier2_fundo_Reag,Embu das Artes,SP,46523114000117,11269000.0,1.23,202509,202301,10725370.3,10917044.8,congelado
Tier2_fundo_Reag,São Bernardo do Campo,SP,46523239000147,8500000.0,0.45,202412,202301,4723875.0,2878266.6,outro
Tier2_fundo_Reag,Governo do Estado de Rondônia,RO,00394585000171,8500000.0,0.15,202412,202301,4750000.0,3740000.0,outro
Tier2_fundo_Reag,Camaçari,BA,14109763000180,8500000.0,1.68,202412,202301,4750000.0,3740000.0,outro
Tier2_fundo_Reag,Santa Luzia,MG,18715409000150,6555570.0,3.93,202311,202301,,0.0,outro
Tier2_fundo_Reag,Birigui,SP,46151718000180,4507600.0,1.33,202509,202301,4290148.12,4366817.92,congelado
Tier2_fundo_Reag,Cândido Mota,SP,46179958000192,3234538.63,3.21,202301,202301,1242552.5,980962.5,outro
Tier2_fundo_Reag,Várzea da Palma,MG,18279059000126,2854300.0,3.94,202412,202301,,0.0,outro
Tier2_fundo_Reag,Jaraguá do Sul,SC,83102459000123,2550000.0,0.36,202412,202301,1425000.0,1122000.0,outro
Tier2_fundo_Reag,Santos,SP,58200015000183,2209774.94,0.07,202601,202301,2139040.08,2183594.34,outro
Tier2_fundo_Reag,Pirapora,MG,23539463000121,1657500.0,7.71,202412,202301,926250.0,760500.0,outro
Tier2_fundo_Reag,Bocaiúva,MG,18803072000132,365500.0,0.69,202412,202301,204250.0,167700.0,outro
Tier2_fundo_Reag,Blumenau,SC,83108357000115,340000.0,0.08,202412,202301,190000.0,149600.0,outro
Tier2_fundo_Reag,Pomerode,SC,83102251000104,224370.0,0.15,202408,202301,,0.0,outro
